Buck and Bear's Dealership|111 bark lane|bear-food-1111
111|2021|toyota|camry|sedan|white|27000|21000.00
112|2020|honda|accord|sedan|silver|30000|23000.50
113|2022|ford|mustang|coupe|blue|25000|32000.75
114|2019|chevrolet|malibu|sedan|black|28000|20000.25
115|2021|nissan|altima|sedan|gray|26000|22000.80
116|2020|hyundai|sonata|sedan|red|29000|19500.90
117|2022|volkswagen|jetta|sedan|white|27000|24000.00
118|2019|subaru|impreza|hatchback|green|31000|18000.60
119|2021|mercedes-benz|c-class|coupe|silver|24000|35000.45
120|2020|kia|optima|sedan|blue|28000|20500.70
121|2022|bmw|3-series|sedan|black|25000|36000.30
